Sigla da UF,Rede,TX_Apro,Indicador de Rendimento (P),SAEB_M,SAEB_P,Nota Média Padronizada (N),"IDEB
2021
(N x P)"
,,,,,,,
,,,,,,,
SG_UF,REDE,VL_APROVACAO_2021_SI_4,VL_INDICADOR_REND_2021,VL_NOTA_MATEMATICA_2021,VL_NOTA_PORTUGUES_2021,VL_NOTA_MEDIA_2021,VL_OBSERVADO_2021
AM,Estadual,100.0,1.00,251.82,260.69,5.21,5.2
AM,Estadual,-,-,-,-,-,-
AM,Estadual,97.5,0.98,245.39,261.34,5.11,5.0
AM,Estadual,88.9,0.89,243.29,248.77,4.87,4.3
AM,Estadual,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Estadual,100.0,1.00,254.69,267.43,5.37,5.4
AM,Estadual,-,-,-,-,-,-
AM,Estadual,96.6,0.97,226.63,241.37,4.47,4.3
AM,Estadual,99.6,1.00,283.47,287.20,6.18,6.2
AM,Estadual,99.6,1.00,254.04,249.32,5.06,5.0
AM,Estadual,100.0,1.00,257.32,266.30,5.39,5.4
AM,Estadual,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Estadual,99.6,1.00,233.71,240.72,4.57,4.6
AM,Estadual,-,-,-,-,-,-
AM,Municipal,94.9,0.95,255.02,249.34,5.07,4.8
AM,Municipal,92.5,0.93,254.94,256.87,5.20,4.9
AM,Municipal,-,-,-,-,-,-
AM,Municipal,99.7,1.00,245.00,246.04,4.85,4.8
AM,Municipal,100.0,1.00,240.27,253.64,4.90,4.9
AM,Municipal,100.0,1.00,258.98,267.74,5.45,5.4
AM,Municipal,100.0,1.00,248.46,253.19,5.03,5.0
